07/12/20 14:13:18 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/site/AdminSite.jsp?page_id=1&param_block=2
07/12/20 14:13:20 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/site/AdminSite.jsp?page_id=1&param_block=5
07/12/20 14:14:45 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManageDaemons.jsp?plugin_name=
07/12/20 14:14:48 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/plugins/testmoussia/ManageUsers.jsp?plugin_name=testmoussia
07/12/20 14:14:51 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManageCaches.jsp?plugin_name=
07/12/20 14:14:55 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/role/ManagePageRole.jsp?plugin_name=
07/12/20 14:15:00 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/ManageProperties.jsp?plugin_name=
07/12/20 14:15:04 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/ManageProperties.jsp
07/12/20 14:15:07 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/ManageProperties.jsp
07/12/20 16:32:54 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp?plugin_name=
07/12/20 16:33:01 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp?plugin_name=
07/12/20 16:33:26 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp
07/12/20 16:33:39 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp
07/12/20 16:33:51 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp?plugin_name=
07/12/20 16:33:58 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp
07/12/20 16:34:00 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp
07/12/20 16:34:03 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ViewPluginDescription.jsp?plugin_name=core
07/12/20 16:56:11 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp?plugin_name=
07/12/20 16:57:52 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ViewPluginDescription.jsp?plugin_name=core
07/12/20 16:58:10 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp?plugin_name=
07/12/20 16:58:14 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ViewPluginDescription.jsp?plugin_name=lucene
07/12/20 16:58:23 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp
07/12/20 16:58:26 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp
07/12/20 16:58:27 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp
07/12/20 16:58:29 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp
07/12/20 16:58:29 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp
07/12/20 16:58:33 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ViewPluginDescription.jsp?plugin_name=testmoussia
07/12/20 16:58:45 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp?plugin_name=
07/12/20 16:58:47 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 16:58:50 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 16:58:51 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 16:59:10 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 16:59:24 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminMenu.jsp
